Company,weighted_score,l_score,w_score
COCA-COLA ITALIA SRL,7.24,10.0,0.79
DECATHLON PRODUZIONE ITALIA S.R.L.,6.4,7.67,3.44
SEPHORA ITALIA S.R.L.,4.82,6.66,0.53
RHENUS LOGISTICS S.P.A.,4.46,4.73,3.84
MEDIAMARKET SPA,4.02,5.07,1.58
ARROW ELECTRONICS ITALIA S.R.L.,3.98,5.59,0.22
METRO ITALIA S.P.A.,3.96,5.43,0.53
DHL EXPRESS (ITALY) S.R.L.,3.87,5.4,0.3
3M ITALIA S.R.L.,3.51,5.01,0.0
MONDELEZ ITALIA S.R.L.,3.42,4.49,0.93
SNAITECH S.P.A.,3.04,2.73,3.77
WIND TRE S.P.A.,3.04,4.3,0.08
IN SPORT S.R.L. SOCIETA' SPORTIVA DILETTANTISTICA IN BREVE DENO MINATA IN SPORT S.R.L. S.S.D.,3.0,0.0,10.0
GRUPPO SAPIO (1),2.82,3.53,1.17
SISAL ENTERTAINMENT S.P.A.,2.81,3.68,0.79
DSV S.P.A.,2.68,3.38,1.04
WOLTERS KLUWER ITALIA S.R.L.,2.65,3.26,1.23
E.ON ENERGIA S.P.A.,2.63,3.48,0.65
ENI PLENITUDE S.P.A. SOCIETA' BENEFIT,2.51,2.73,1.99
TAMOIL ITALIA S.P.A.,2.5,3.57,0.0
MET ENERGIA ITALIA S.P.A.,2.47,3.09,1.03
S.A.P. ITALIA SISTEMI APPLICAZIONI PRODOTTI IN DATA PROCESSING S.P.A.,2.4,3.06,0.85
ZANOTTA S.P.A.,2.39,3.37,0.1
IKEA ITALIA RETAIL S.R.L.,2.39,3.09,0.75
SHELL ENERGY ITALIA S.R.L.,2.23,2.03,2.7
HENKEL ITALIA S.R.L.,2.19,2.97,0.39
EI TOWERS S.P.A.,2.19,2.79,0.77
JUNGHEINRICH ITALIANA SRL,2.16,2.31,1.82
ADIDAS ITALY S.P.A.,2.13,2.34,1.65
ADAMANT BIONRG S.R.L.,2.11,2.34,1.59
ENGIE ITALIA SPA,2.11,2.63,0.9
REPOWER ITALIA S.P.A.,2.11,2.29,1.69
EDISON S.P.A.,2.11,2.65,0.84
PIAZZA ITALIA S.P.A.,2.1,2.65,0.81
SAGAM S.P.A.,2.07,0.0,6.89
ITALMATCH CHEMICALS S.P.A.,2.06,2.57,0.86
"EY S.P.A., PER ESTESO ANCHE ERNST & YOUNG S.P.A.",2.04,2.42,1.17
INSTRUMENTATION LABORATORY S.P.A.,2.04,2.82,0.23
TOTALENERGIES MARKETING ITALIA S.P.A.,2.04,2.34,1.33
EMERSON PROCESS MANAGEMENT S.R.L.,1.99,2.42,0.99
BRACCO IMAGING S.P.A.,1.87,1.99,1.58
BORGWARNER MORSE SYSTEMS ITALY S.R.L.,1.85,2.35,0.69
GILEAD SCIENCES S.R.L.,1.84,2.27,0.84
WEBUILD S.P.A.,1.82,2.3,0.71
FOMAS HOP S.P.A.,1.8,2.47,0.24
SCHENKER ITALIANA SPA,1.77,1.58,2.21
ABB S.P.A.,1.73,1.83,1.49
CISCO SYSTEMS (ITALY) S.R.L.,1.7,2.09,0.81
F.LLI MONTORFANO S.R.L.,1.7,0.0,5.68
ITT ITALIA S.R.L.,1.7,2.23,0.46
"INFRASTRUTTURE WIRELESS ITALIANE S.P.A. O, IN FORMA ABBREVIATA, INWIT S.P.A.",1.7,2.1,0.77
PIRELLI TYRE SPA,1.7,1.79,1.48
ZAMBON S.P.A.,1.69,2.02,0.92
DECATHLON ITALIA S.R.L.,1.69,0.0,5.62
AIR LIQUIDE ITALIA PRODUZIONE SRL,1.68,1.64,1.76
"SNAM RETE GAS S.P.A. O, IN FORMA ABBREVIATA SNAM RG S.P.A.",1.64,1.76,1.36
A2A ENERGIEFUTURE S.P.A.,1.64,1.8,1.24
SORGENIA PUGLIA S.P.A.,1.63,1.87,1.06
VITERRA ITALY S.R.L.,1.62,2.15,0.38
SYNLAB ITALIA S.R.L.,1.53,2.05,0.31
STOCCAGGI GAS ITALIA SPA O IN FORMA ABBREVIATA STOGIT SPA,1.5,1.48,1.52
ASTRAZENECA S.P.A.,1.47,1.87,0.54
VERSALIS S.P.A.,1.44,1.66,0.92
BAYER S.P.A.,1.42,1.76,0.63
RHENUS AIR & OCEAN SRL,1.39,0.0,4.64
ALPIQ ENERGIA ITALIA S.P.A.,1.38,1.42,1.31
KIA ITALIA S.R.L.,1.36,1.24,1.63
ARIENTI AUTOGRU' S.R.L.,1.34,0.0,4.46
DATAMATIC S.P.A.,1.34,1.9,0.02
ALDIERI AUTOTRASPORTI S.P.A.,1.33,0.0,4.44
FALCK NEXT ENERGY S.R.L.,1.33,1.31,1.36
KUEHNE + NAGEL S.R.L.,1.29,1.03,1.89
FAI SERVICE SOCIETA' COOPERATIVA,1.27,0.0,4.25
RANDSTAD ITALIA S.P.A.,1.27,1.48,0.78
FIBERCOP S.P.A.,1.25,0.8,2.3
CANALI HOLDING SOCIETA' PER AZIONI,1.25,1.2,1.35
TATUUS RACING S.P.A.,1.23,0.0,4.09
2I RETE GAS S.P.A.,1.22,1.34,0.96
ACCIAIERIA ARVEDI S.P.A.,1.21,1.0,1.71
FRATELLI GIACOMEL S.P.A.,1.19,1.27,0.99
INTERCOS S.P.A.,1.19,1.47,0.52
PREGIS S.P.A.,1.17,1.15,1.21
VENTANA SERRA S.P.A.,1.14,0.83,1.88
A.P.S. AROSIO S.P.A.,1.14,1.6,0.06
TAGLIABUE GOMME GROSS S.R.L.,1.14,1.63,0.0
AXSE SRL,1.14,0.0,3.81
RAIL CARGO CARRIER - ITALY S.R.L.,1.13,0.0,3.77
RAIL CARGO LOGISTICS - ITALY S.R.L.,1.13,0.0,3.76
SENNDER ITALIA S.R.L.,1.13,0.0,3.75
DOUGLAS ITALIA S.P.A.,1.11,0.87,1.69
MARELLI SUSPENSION SYSTEMS ITALY S.P.A.,1.11,1.0,1.36
CARGILL S.R.L.,1.11,1.04,1.26
TELECOM ITALIA SPA O TIM S.P.A.,1.1,1.39,0.43
SAINT-GOBAIN ITALIA S.P.A.,1.09,0.44,2.61
NESTLE' ITALIANA S.P.A. IN FORMA ABBREVIATA NE.IT. S.P.A.,1.07,0.84,1.6
STILSCREEN - S.R.L.,1.06,0.0,3.55
BRUGOLA COMMERCIALE SPA,1.06,0.95,1.32
BMW ITALIA SPA,1.06,1.3,0.5
NAMEDSPORT S.R.L.,1.05,0.0,3.49
HEWLETT-PACKARD ITALIANA S.R.L.,1.04,1.43,0.14
AMSA AZIENDA MILANESE SERVIZI AMBIENTALI SPA IN FORMA ABBREVIATA AMSA SPA,1.04,1.19,0.68
GREENCHEMICALS S.R.L.,1.01,0.0,3.37
CANON ITALIA S.P.A.,1.0,1.26,0.4
FACEBOOK ITALY S.R.L.,0.99,1.2,0.5
FINCONS S.P.A.,0.98,0.99,0.97
TECNIMONT S.P.A.,0.98,0.98,0.99
KONE S.P.A.,0.97,0.68,1.65
SETOA ITALIA S.P.A.,0.97,0.0,3.24
MICROSOFT S.R.L.,0.97,1.03,0.82
SORGENIA S.P.A.,0.95,0.82,1.28
SABIC ITALIA S.R.L.,0.94,0.88,1.06
SIEMENS S.P.A.,0.91,0.75,1.3
ACCENTURE S.P.A.,0.91,1.0,0.7
SAIF S.P.A.,0.9,0.0,2.99
SKY ITALIA - S.R.L.,0.89,0.0,2.96
INGRAM MICRO S.R.L.,0.89,1.23,0.09
QVC ITALIA S.R.L.,0.88,0.0,2.93
ALFA LAVAL ITALY S.R.L.,0.88,1.1,0.37
BETA UTENSILI S.P.A.,0.88,0.78,1.11
CONSORZIO DESIO-BRIANZA,0.88,0.0,2.92
COOPERATIVA SOCIALE AERIS A R.L.,0.87,0.0,2.9
SOCIOSFERA ONLUS SOCIETA' COOPERATIVA SOCIALE,0.87,0.0,2.9
EDENRED ITALIA S.R.L.,0.86,0.68,1.29
CEVA LOGISTICS ITALIA S.R.L.,0.86,0.0,2.88
BOEHRINGER INGELHEIM ITALIA - S.P.A.,0.86,0.4,1.92
L'OREAL ITALIA S.P.A.,0.85,0.74,1.12
FASTWEB SPA,0.84,0.96,0.54
IPERAL SUPERMERCATI S.P.A.,0.82,1.08,0.22
J.B. CARS S.R.L.,0.82,0.9,0.65
PROJECT AUTOMATION S.P.A.,0.81,0.0,2.7
TERMINALE GNL ADRIATICO SOCIETA' A RESPONSABILITA' LIMITATA IN FORMA ABBREVIATA TERMINALE GNL ADRIATICO S.R.L.,0.81,0.0,2.69
AZIENDA TRASPORTI MILANESI S.P.A. IN FORMA ABBREVIATA A.T.M. S .P.A.,0.81,0.0,2.69
SPREAFICO FRANCESCO E F.LLI S.P.A.,0.8,0.88,0.62
GENCOS110 S.P.A.,0.8,0.0,2.67
OFFERTA SOCIALE AZIENDA SPECIALE CONSORTILE,0.79,0.0,2.65
DUSSMANN SERVICE S.R.L.,0.79,0.45,1.56
NLINE SHIPPING SRL,0.78,0.0,2.62
HYDRO EXTRUSION ITALY S.R.L.,0.78,0.72,0.92
CFG OVERSEAS SRL,0.77,0.0,2.55
PHARDIS S.R.L.,0.76,0.0,2.54
BIOGEN ITALIA S.R.L.,0.76,0.78,0.71
SIEMENS ENERGY S.R.L.,0.75,0.0,2.5
LGD SOCIETA' COOPERATIVA,0.75,0.0,2.5
GEODIS FF ITALIA S.P.A.,0.74,0.0,2.48
MAISONS DU MONDE ITALIE S.R.L.,0.74,0.0,2.48
F.S.A. S.R.L.,0.73,0.0,2.43
OPEN FIBER S.P.A.,0.73,0.82,0.52
ROYAL GREENLAND ITALIA SOCIETA' PER AZIONI,0.72,0.0,2.41
MULTILOGISTICS S.P.A.,0.72,0.0,2.39
EPIPOLI SPA,0.71,0.79,0.54
MALBERTI HOLDING S.P.A.,0.71,0.0,2.36
LOMBARDA MOTORI S.P.A.,0.71,0.0,2.36
DNV BUSINESS ASSURANCE ITALY S.R.L.,0.7,0.0,2.34
Company not found,0.69,0.99,0.0
SALMOIRAGHI S.P.A.,0.68,0.0,2.27
B. & V. HOLDING S.P.A.,0.66,0.0,2.21
MONDADORI LIBRI S.P.A.,0.66,0.0,2.21
IBM ITALIA S.P.A.,0.66,0.72,0.52
LG ELECTRONICS ITALIA S.P.A.,0.65,0.76,0.4
RAVAGRICOLA S.P.A.,0.65,0.0,2.15
SAPIO PRODUZIONE IDROGENO OSSIGENO SRL,0.65,0.48,1.03
G. CARRAI & C. S.R.L.,0.64,0.0,2.13
MERCITALIA INTERMODAL S.P.A.,0.64,0.0,2.12
HP23 S.R.L.,0.62,0.0,2.06
STOCK HOUSE ITALIA LOGISTIC - SRL,0.61,0.0,2.04
RENEWABLE DISPATCHING S.R.L.,0.61,0.0,2.03
AMPLIFON ITALIA S.P.A.,0.61,0.64,0.53
ENEGREEN S.P.A.,0.6,0.0,1.99
CO.GE.FIN. S.P.A.,0.59,0.0,1.97
KASANOVA S.P.A.,0.58,0.7,0.32
ROVAGNATI SPA,0.58,0.6,0.54
IRIDEOS S.P.A.,0.58,0.0,1.94
CHEMOURS ITALY S.R.L.,0.58,0.0,1.94
CLEAF SPA,0.58,0.74,0.22
FRESH WAYS S.R.L.,0.57,0.0,1.89
COTY ITALIA S.R.L.,0.57,0.0,1.89
I.M.P. INDUSTRIA METALLI PRESSOFUSI SRL,0.57,0.0,1.89
VIO & C. S.R.L.,0.56,0.0,1.88
MARELLI EUROPE S.P.A.,0.56,0.0,1.87
SIRAM S.P.A.,0.55,0.0,1.84
MM S.P.A.,0.55,0.0,1.84
SNAM S.P.A.,0.55,0.0,1.84
NAMED S.R.L. **,0.55,0.0,1.83
DNV MARITIME ITALY S.R.L.,0.54,0.0,1.82
"PRIME GREEN SOLUTIONS BENEFIT S.P.A. O IN FORMA ABBREVIATA ""PRIME GREEN SOLUTIONS S.P.A. SB""",0.54,0.0,1.82
"""PERNOD RICARD ITALIA S.P.A."" O, PIU' BREVEMENTE, ""PRI S.P.A."" NONCHE' ""PR ITALIA S.P.A.""",0.54,0.0,1.81
BIANALISI S.P.A. *,0.54,0.63,0.34
COLUMBUS SRL,0.54,0.0,1.79
MANIFATTURA MARIO COLOMBO & C. S.P.A.,0.54,0.0,1.79
GRUPPO COLZANI S.R.L.,0.54,0.0,1.78
MONDADORI RETAIL S.P.A.,0.54,0.0,1.78
EVOLVE S.P.A.,0.53,0.0,1.77
ENI REWIND S.P.A.,0.53,0.48,0.65
GXO LOGISTICS ITALY S.P.A.,0.53,0.0,1.75
IM BIOFUEL ITALY S.R.L.,0.53,0.0,1.75
A.C. MONZA S.P.A.,0.52,0.0,1.74
EARTH ENERGY S.R.L.,0.52,0.0,1.74
J.A.S. JET AIR SERVICE SPA,0.51,0.0,1.7
DS SMITH HOLDING ITALIA S.P.A.,0.51,0.0,1.69
MOSCA MOTORI S.R.L.,0.51,0.0,1.69
ENISERVIZI S.P.A.,0.5,0.0,1.68
"""ITALCEMENTI"" FABBRICHE RIUNITE CEMENTO - SOCIETA' PER AZIONI - BERGAMO IN FORMA ABBREVIATA ITALCEMENTI S.P.A.",0.5,0.0,1.68
GETOIL S.R.L.,0.5,0.0,1.66
EASTMAN ITALIA S.R.L.,0.5,0.0,1.66
EVOLVERE S.P.A. SOCIETA' BENEFIT,0.5,0.0,1.65
LA NETTATUTTO S.R.L.,0.5,0.0,1.65
ENIPOWER SPA,0.49,0.0,1.64
OPELLA HEALTHCARE ITALY SRL O OPELLA HEALTHCARE ITALY SRL SOCIETA' BENEFIT,0.49,0.0,1.63
VAILOG S.R.L.,0.49,0.0,1.63
ENIPOWER MANTOVA S.P.A.,0.49,0.0,1.63
ARCO SPEDIZIONI S.P.A.,0.49,0.0,1.63
ALVECO S.R.L.,0.49,0.0,1.62
"""ANHEUSER - BUSCH INBEV ITALIA SPA"" OVVERO IN FORMA ABBREVIATA ""AB INBEV ITALIA SPA""",0.48,0.0,1.61
CONTINENTAL ITALIA S.P.A. PNEUMATICI PRODOTTI DI GOMMA E PLASTICI,0.48,0.0,1.6
VEOS S.P.A. **,0.48,0.0,1.59
LA MERIDIANA SOCIETA' COOPERATIVA SOCIALE,0.47,0.0,1.58
TROCELLEN ITALIA S.P.A.,0.47,0.0,1.57
"CONSORZIO COMUNITA' BRIANZA SOCIETA' COOPERATIVA SOCIALE - IMPRES A
SOCIALE",0.47,0.0,1.56
"PRENATAL RETAIL GROUP S.P.A. OVVERO, IN ABBREVIATO, PNT RETAIL GR OUP S.P.A. O PRG S.P.A.",0.46,0.0,1.54
DANONE NUTRICIA SPA SOCIETA' BENEFIT IN FORMA ABBREVIATA D.N. SPA O DANONE N. SPA S. BENEFIT,0.46,0.0,1.54
BRANDART S.P.A.,0.46,0.0,1.52
"PARMALAT S.P.A. IN FORMA ABBREVIATA ""PLT S.P.A.""",0.46,0.0,1.52
EXENTIAL CONSULTING S.R.L.,0.46,0.0,1.52
ASC SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE ASC S.R.L.,0.46,0.0,1.52
RECKITT BENCKISER COMMERCIAL (ITALIA) S.R.L.,0.45,0.33,0.74
RIVA LOGISTIC & SERVICE S.R.L.,0.45,0.0,1.51
TRANS TUNISIAN PIPELINE COMPANY S.P.A.,0.45,0.0,1.51
BIREL ART S.R.L.,0.45,0.0,1.51
PARTECIPAZIONI SOCIETA' ALIMENTARI S.R.L. O PIU' BREVEMENTE PARTESA S.R.L.,0.45,0.29,0.82
CAP HOLDING S.P.A.,0.45,0.0,1.5
COCA-COLA HBC ITALIA S.R.L.,0.45,0.28,0.84
ABBOTT MEDICAL ITALIA S.R.L.,0.45,0.0,1.49
HP ITALY S.R.L.,0.45,0.52,0.27
SANOFI S.R.L.,0.44,0.0,1.48
ADVIPLAST S.P.A.,0.44,0.0,1.47
A2A ENERGIA S.P.A.,0.44,0.0,1.46
ARKEMA S.R.L.,0.43,0.0,1.45
PAGG ASPOCK S.R.L.,0.43,0.0,1.45
ROLEX ITALIA S.P.A. IN BREVE ROL.IT. S.P.A.,0.43,0.0,1.44
BUTAN GAS SPA,0.43,0.17,1.03
POMELLATO S.P.A.,0.43,0.0,1.43
CP COLOMBO SRL,0.42,0.0,1.42
STUCCHI SERVIZI ECOLOGICI SRL,0.42,0.0,1.41
ISTITUTI CLINICI ZUCCHI S.P.A.,0.42,0.0,1.41
"EGIDIO GALBANI SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE ""EGIDIO GALBANI S.R.L."" O ""E.GA. S.R.L.""",0.42,0.0,1.39
DP DENT S.R.L.,0.42,0.0,1.38
BOXLINE UNITED CARGO LINK S.R.L.,0.41,0.0,1.37
GEZE ITALIA S.R.L.,0.41,0.0,1.37
"NESTLE' PURINA COMMERCIALE S.R.L. IN FORMA ABBREVIATA ""PUR.IT S.R.L.""",0.41,0.0,1.37
VAMP TECHNOLOGIES S.P.A.,0.41,0.0,1.36
GAS SALES S.R.L.,0.41,0.0,1.36
SMURFIT KAPPA ITALIA S.P.A.,0.41,0.17,0.95
SPIRAX - SARCO S.R.L. *,0.41,0.0,1.35
AB.M MILANO S.R.L.,0.41,0.0,1.35
FRIGERIO VIAGGI SRL,0.4,0.0,1.34
INNOMOTICS SRL,0.4,0.24,0.77
JT INTERNATIONAL ITALIA S.R.L.,0.4,0.0,1.32
WEBHELP ENTERPRISE SALES SOLUTIONS ITALY S.R.L.,0.4,0.0,1.32
ATLANTIC INTEGRATED FREIGHT S.R.L.,0.39,0.0,1.31
BOLLORE' LOGISTICS ITALY S.P.A.,0.39,0.0,1.31
NOKIA SOLUTIONS AND NETWORKS ITALIA S.P.A. IN FORMA ABBREVIATA NSN ITALIA S.P.A.,0.39,0.0,1.31
AIR LIQUIDE ITALIA SERVICE S.R.L.,0.39,0.0,1.31
SASOL ITALY S.P.A.,0.39,0.0,1.3
SIBELCO ITALIA - SOCIETA' PER AZIONI,0.39,0.0,1.3
JOHN DEERE ITALIANA S.R.L.,0.39,0.0,1.3
EDISON NEXT GOVERNMENT S.R.L.,0.39,0.0,1.29
SORGENIA POWER S.P.A.,0.39,0.0,1.29
ERICA SRL,0.38,0.0,1.28
THE BOSTON CONSULTING GROUP S.R.L.,0.38,0.0,1.26
GOLDEN GOOSE S.P.A.,0.38,0.0,1.26
H & M HENNES & MAURITZ S.R.L.,0.38,0.0,1.26
ALPHA TRADING S.P.A.,0.38,0.0,1.26
BUSINESS INTEGRATION PARTNERS S.P.A.,0.38,0.0,1.26
GI GROUP S.P.A.,0.38,0.0,1.25
YAMAHA MOTOR RACING S.R.L.,0.38,0.0,1.25
YOU LOG S.P.A.,0.38,0.0,1.25
MONT-ELE SRL,0.38,0.0,1.25
MA.SI GROUP S.R.L.,0.37,0.0,1.24
MULTIMEDICA S.P.A.,0.37,0.0,1.24
EDIM S.P.A.,0.37,0.0,1.24
MASCHERONI S.R.L.,0.37,0.0,1.24
SUN CHEMICAL GROUP S.P.A.,0.37,0.0,1.23
ASC S.R.L.,0.37,0.0,1.23
GELSIA S.R.L.,0.37,0.0,1.22
MARTEC MARINE S.P.A.,0.37,0.0,1.22
MILANO SERRAVALLE - MILANO TANGENZIALI S.P.A.,0.37,0.0,1.22
DELL'ORTO S.P.A.,0.37,0.0,1.22
KSB ITALIA S.P.A.,0.37,0.0,1.22
SOCIETA' PER AZIONI ESERCIZI AEROPORTUALI S.E.A.,0.37,0.0,1.22
TAO AMBIENTE S.R.L.,0.37,0.0,1.22
MARIANI AUTO SRL,0.36,0.0,1.21
C.O.I.M. S.P.A. - CHIMICA ORGANICA INDUSTRIALE MILANESE,0.36,0.0,1.21
CEREDA AMBROGIO S.R.L.,0.36,0.0,1.21
WOOD ITALIANA S.R.L.,0.36,0.0,1.2
ARGOS S.P.A.,0.36,0.0,1.2
YAMAHA MOTOR R&D EUROPE S.R.L.,0.36,0.0,1.19
SEAWAY S.R.L.,0.36,0.0,1.19
SOCIETA' ITALIANA ACCIAI TUBI SIAT SOCIETA' PER AZIONI CON SIGLA SIAT SPA,0.35,0.0,1.18
GELSIA AMBIENTE S.R.L.,0.35,0.0,1.18
CONSORZIO X-RESPONSE,0.35,0.0,1.18
SAIPEM S.P.A.,0.35,0.0,1.17
SEA S.P.A.,0.35,0.0,1.17
"ALIMENTARIA VALDINIEVOLE S.P.A. PIU' BREVEMENTE INDICATA COME: ""ALIVAL S.P.A.""",0.35,0.0,1.17
VOLVO GROUP ITALIA S.P.A.,0.35,0.0,1.17
EPTA S.P.A.,0.35,0.0,1.16
CALCESTRUZZI S.P.A.,0.35,0.0,1.16
BENCINI CESARE S.R.L.,0.35,0.0,1.16
ENI ANGOLA S.P.A.,0.34,0.0,1.15
DELICATESSE SPA,0.34,0.0,1.15
FIERA MILANO S.P.A.,0.34,0.0,1.15
FSI S.R.L.,0.34,0.0,1.15
TESI S.P.A.,0.34,0.0,1.15
OPTIMUM MEDIA DIRECTION S.R.L. IN BREVE OMD S.R.L.,0.34,0.0,1.14
EUSIDER S.P.A.,0.34,0.0,1.14
TOTALENERGIES EP ITALIA S.P.A.,0.34,0.0,1.14
G.A.I.A. HOLDING S.R.L.,0.34,0.0,1.14
EUROFLORA SRL,0.34,0.0,1.14
CSEL CONSORZIO - SOCIETA' COOPERATIVA SOCIALE,0.34,0.0,1.14
A2A GENCOGAS S.P.A.,0.34,0.0,1.12
AUTOLOCATELLI S.R.L.,0.34,0.0,1.12
"""REPOWER VENDITA ITALIA S.P.A."" - IN FORMA ABBREVIATA ""REPOWER S.P.A.""",0.34,0.0,1.12
MULTIVENDOR SERVICE S.R.L. (1),0.33,0.0,1.11
RAUCH ITALIA SRL,0.33,0.0,1.1
COLUSSI S.P.A.,0.33,0.0,1.1
SALCHI METALCOAT S.R.L.,0.33,0.0,1.09
GALFIN S.R.L.,0.33,0.0,1.09
WANHUA BORSODCHEM ITALIA SRL,0.33,0.0,1.09
BRIANZA PLASTICA SPA,0.33,0.0,1.09
LEROY MERLIN ITALIA S.R.L.,0.33,0.47,0.0
DHL GLOBAL FORWARDING (ITALY) S.P.A.,0.32,0.0,1.08
OPENJOBMETIS SPA AGENZIA PER IL LAVORO,0.32,0.0,1.08
DELL ORTO GIAN PAOLO S.P.A.,0.32,0.0,1.07
MAURI BUS SYSTEM SRL,0.32,0.0,1.07
"CONNECT CHEMICALS ITALIA SRL O, IN BREVE CCI SRL",0.32,0.0,1.07
OREC NETWORK SOCIETA' CONSORTILE A R.L.,0.32,0.0,1.07
A2A AIRPORT ENERGY S.P.A.,0.32,0.0,1.07
RETITALIA S.P.A.,0.32,0.17,0.66
"GLAXOSMITHKLINE CONSUMER HEALTHCARE S.R.L. IN BREVE ""GLAXOSMITHKLINE CH S.R.L."", ""GSK CONSUMER HEALTHCARE S.R.L."", ""GSK CH S.R.L.""",0.32,0.0,1.06
T.W.S. EXPRESS COURIER S.R.L.,0.32,0.0,1.06
EURONICS ITALIA S.P.A.,0.32,0.0,1.06
MONCLER S.P.A.,0.32,0.0,1.06
BASELL POLIOLEFINE ITALIA S.R.L.,0.31,0.0,1.04
BIMAN S.R.L.,0.31,0.0,1.04
SALMOIRAGHI & VIGANO' S.P.A. E - IN FORMA ABBREVIATA - S&V S.P.A.,0.31,0.0,1.04
CEM AMBIENTE S.P.A.,0.31,0.0,1.04
GAZPROM ITALIA S.P.A.,0.31,0.0,1.04
MARELLI SALVATORE S.R.L.,0.31,0.0,1.04
SORGENIA TRADING S.P.A.,0.31,0.0,1.04
EY ADVISORY S.P.A.,0.31,0.0,1.04
MARTEC S.P.A.,0.31,0.0,1.03
RENO DE MEDICI SPA,0.31,0.0,1.03
PRIMARK ITALY S.R.L.,0.31,0.12,0.75
HONEYWELL S.R.L.,0.3,0.0,1.02
NICE S.R.L. MANIFATTURA TESSILE,0.3,0.0,1.01
BRIANZACQUE S.R.L.,0.3,0.0,1.01
SOLVAY ENERGY SERVICES ITALIA S.R.L.IN FORMA ABBREVIATA SES ITALI A SRL,0.3,0.0,1.01
TETRA PAK FOOD ENGINEERING S.P.A.,0.3,0.0,0.99
MEREGALLI IMPIANTI TERMOTECNICI S.R.L.,0.3,0.0,0.99
BOSCH REXROTH S.P.A.,0.3,0.0,0.99
EXPEDITORS INTERNATIONAL ITALIA S.R.L.,0.3,0.0,0.99
TENOVA S.P.A.,0.3,0.0,0.98
WUERTH ELEKTRONIK ITALIA S.R.L.,0.3,0.0,0.98
OSPEDALE GALEAZZI S.P.A.,0.3,0.0,0.98
GS SPA,0.3,0.0,0.98
CAB SRL,0.3,0.0,0.98
EURO-TRADE SPA,0.29,0.0,0.97
SCHINDLER - SOCIETA' PER AZIONI,0.29,0.0,0.97
CBS LAVORO S.P.A.,0.29,0.0,0.97
COMPAGNIA ITALIANA FORME ACCIAIO S.P.A. NELLA FORMA ESTESA E CIFA S.P.A. NELLA FORMA ABBREVIATA,0.29,0.0,0.97
"""COVISIAN SOCIETA' PER AZIONI"" O, IN FORMA ABBREVIATA ""COVISIAN S.P.A.""",0.29,0.0,0.96
EGIMOTORS S.R.L.,0.29,0.0,0.96
RIZZOLI CORRIERE DELLA SERA MEDIAGROUP SPA O IN FORMA ABBREVIATA RCS MEDIAGROUP SPA O RCS S.P.A.,0.29,0.0,0.96
PHILIP MORRIS MANUFACTURING & TECHNOLOGY BOLOGNA S.P.A,0.29,0.0,0.96
KROLL ADVISORY HOLDING S.P.A.,0.29,0.0,0.96
ARCO LOGISTICA S.R.L.,0.29,0.0,0.95
OUTOKUMPU S.R.L.,0.29,0.0,0.95
PRELIOS CREDIT SOLUTIONS S.P.A.,0.29,0.0,0.95
MICRON SEMICONDUCTOR ITALIA S.R.L.,0.29,0.0,0.95
EDISON ENERGIA S.P.A.,0.29,0.0,0.95
ELIOR RISTORAZIONE S.P.A.,0.28,0.0,0.94
WHIRLPOOL MANAGEMENT EMEA SRL,0.28,0.0,0.94
KNORR-BREMSE SISTEMI PER AUTOVEICOLI COMMERCIALI S.P.A.,0.28,0.0,0.94
APERAM STAINLESS SERVICES & SOLUTIONS ITALY SRL,0.28,0.0,0.94
TRILLIUM PUMPS ITALY S.P.A. *,0.28,0.19,0.5
PLATINO SRL,0.28,0.0,0.93
SIDAS S.P.A. SOCIETA' ITALIANA DISTRIBUZIONE ARTICOLI SPORTIVI **,0.28,0.0,0.93
BRENNTAG SPA,0.28,0.0,0.93
COMAP S.R.L.,0.28,0.0,0.92
DIFARCO S.R.L.,0.28,0.0,0.92
RISTOSERVICE S.R.L.,0.28,0.0,0.92
SOLVAY SPECIALTY POLYMERS ITALY S.P.A.,0.28,0.0,0.92
CERVED GROUP S.P.A.,0.27,0.0,0.91
ADI ENERGIA S.R.L.,0.27,0.0,0.91
"CCS JV S.C.A R.L. O, IN FORMA ABBREVIATA CCS S.C.A R.L.",0.27,0.0,0.9
"PANDORA ITALIA SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE ""PANDORA ITALIA S.R.L.""",0.27,0.0,0.9
INTESA SANPAOLO RENT FORYOU S.P.A.,0.27,0.0,0.9
SOLAREDGE TECHNOLOGIES ITALY S.R.L.,0.27,0.0,0.9
SPIN SPA,0.27,0.0,0.9
STENA METALL HOLDING S.R.L.,0.27,0.0,0.9
BASF COATINGS SERVICES ITALY S.R.L.,0.27,0.0,0.9
WEBUILD ITALIA SPA,0.27,0.0,0.89
LVMH PROFUMI E COSMETICI ITALIA S.R.L.,0.27,0.0,0.89
CHG-MERIDIAN ITALIA SPA,0.27,0.0,0.89
SMURFIT KAPPA CARTIERA DI VERZUOLO S.R.L.,0.27,0.0,0.89
ITALIA MARKET S.R.L.,0.27,0.0,0.89
SOLVAY SOLUTIONS ITALIA S.P.A.,0.27,0.0,0.89
ISTITUTO EUROPEO DI ONCOLOGIA SRL,0.26,0.0,0.88
ATOS ITALIA S.P.A.,0.26,0.0,0.88
